-5,270,21,113,158,195,-26,1,-27,-16,29,-31,22,-219,-15,5,58,-246,670,477
-8,86,180,81,86,101,-19,3,-19,-26,10,-4,18,-61,-44,10,32,-112,278,217
-6,204,28,312,125,159,-25,1,-25,0,22,7,22,-162,-3,9,50,-226,487,446
-17,236,25,129,143,140,79,20,84,104,26,-21,24,-202,74,-1,22,-237,349,117
-9,84,127,134,86,145,-15,3,-16,-50,10,4,8,-59,-50,8,20,-120,320,103
-7,104,140,66,94,208,-9,2,-10,-39,13,-12,15,-75,-39,4,51,-118,376,451
-6,97,129,79,91,237,-17,2,-20,-77,12,-7,22,-68,-76,6,67,-117,440,495
-6,157,71,98,106,202,16,2,18,19,17,-10,15,-123,7,10,51,-167,344,451
-5,142,77,101,105,249,-22,1,-25,16,17,-6,11,-107,15,6,78,-156,364,508
-8,109,91,163,94,188,-17,2,-18,-59,13,6,19,-81,-58,3,28,-142,405,171
-4,192,54,61,137,319,-27,1,-28,-91,26,-31,10,-146,-89,5,92,-172,774,518
-7,218,34,93,129,168,-28,2,-29,-67,23,-28,23,-177,-65,-6,22,-206,628,117
-9,353,13,117,182,156,13,3,15,48,31,-58,20,-301,47,7,20,-299,565,103
-16,383,6,456,200,178,89,13,92,111,33,-11,25,-335,106,-4,22,-375,482,117
-16,371,6,801,204,185,95,18,98,124,34,4,42,-323,115,-6,22,-381,477,117
-4,352,8,921,186,329,67,2,68,113,32,13,39,-294,105,10,71,-359,481,501
-5,278,16,303,147,188,21,5,23,68,26,-2,9,-229,68,10,45,-282,432,409
-5,200,24,859,121,238,30,1,38,74,21,16,18,-159,73,10,54,-233,320,463
-17,256,20,178,167,302,85,10,108,133,31,-10,26,-215,102,9,36,-260,403,292
-16,255,13,220,190,232,90,13,115,117,36,-10,25,-210,97,9,28,-266,536,171
-14,263,13,177,228,179,85,105,101,106,43,-13,43,-209,85,-7,10,-263,696,66
-21,236,24,111,164,208,87,13,101,94,31,-25,34,-201,77,10,28,-233,477,171
-14,199,26,214,166,231,85,16,108,105,33,7,37,-157,72,9,36,-222,501,292
-11,227,15,82,170,313,124,14,165,186,33,-54,22,-181,129,5,36,-210,339,292
-21,192,52,60,154,196,75,15,100,108,30,-32,36,-160,74,2,30,-182,429,193
-5,85,32,0,88,284,-9,4,-10,-39,11,68,23,-56,-38,6,54,-189,336,463
-18,92,103,66,96,170,4,4,13,8,14,-15,11,-74,5,9,50,-118,303,446
-16,128,65,81,114,182,28,6,52,22,20,-13,15,-101,-6,6,32,-148,392,217
-7,108,65,0,94,113,-1,3,0,-2,13,27,18,-79,-3,7,32,-162,293,217
-6,164,132,25,122,283,-23,2,-26,-67,22,-66,9,-125,-70,4,70,-114,631,500
-4,131,40,0,108,311,-18,3,-22,6,18,32,22,-95,9,7,103,-185,417,523
-6,151,72,52,121,260,-25,4,-28,-86,22,-30,9,-112,-84,6,63,-141,666,489
-7,199,42,162,112,113,28,13,29,19,18,-5,37,-163,2,10,32,-211,356,217
-19,190,39,90,132,235,38,14,43,92,24,-23,48,-161,63,6,22,-195,331,117
-7,165,55,106,113,170,-26,0,-28,-73,19,-10,10,-129,-72,-4,41,-175,566,371
-6,344,13,137,180,150,15,2,15,37,31,-46,38,-290,37,9,45,-299,599,409
-17,336,9,366,196,166,73,11,77,93,34,-6,16,-291,85,5,30,-338,543,193
-16,269,12,295,273,231,74,21,96,108,50,11,50,-210,79,8,36,-283,852,292
-6,147,27,0,106,130,-19,1,-20,-32,17,39,16,-112,-32,0,32,-213,437,217
-7,141,58,92,100,71,15,9,15,5,15,-16,24,-109,-3,9,30,-154,320,193
-6,94,129,84,91,153,-27,1,-28,-11,12,-5,22,-66,-31,8,64,-117,306,490
-17,129,101,46,108,138,11,0,24,26,18,-32,14,-105,20,9,42,-130,347,386
-26,162,94,41,108,166,63,6,67,62,17,-51,40,-146,60,10,28,-149,247,171
-8,103,141,64,89,137,-3,0,-4,-38,11,-15,20,-76,-38,9,32,-117,323,217
-22,258,26,78,151,274,81,11,102,98,27,-51,18,-226,73,5,28,-232,385,171
-23,242,23,119,170,297,96,14,124,115,32,-22,43,-206,81,6,20,-241,452,103
-24,228,39,49,136,188,32,16,33,87,24,-66,29,-203,64,9,20,-195,340,103
-7,104,51,0,91,192,10,5,10,-19,12,39,43,-76,-19,9,30,-173,305,193
-6,104,95,105,96,232,-21,2,-23,-72,14,-2,12,-73,-70,6,58,-129,467,477
-6,112,84,106,94,171,-5,2,-7,-47,13,-5,13,-82,-45,8,50,-135,392,446
-6,109,146,50,107,234,-35,1,-39,-70,18,-18,34,-76,-85,7,58,-113,547,477
-8,143,83,43,98,108,-13,2,-13,-60,14,-43,24,-112,-60,-4,22,-130,425,117
-7,159,78,62,106,162,-26,2,-27,-76,17,-27,13,-125,-76,6,40,-153,529,355
-24,182,42,84,128,137,48,23,62,69,23,-25,30,-159,42,7,22,-191,356,117
-23,144,37,89,104,108,42,47,65,67,16,-29,20,-128,30,4,10,-167,207,66
-20,138,48,67,115,222,56,12,71,70,20,-29,21,-115,52,4,36,-151,298,292
-7,118,46,145,131,224,-30,2,-34,-86,26,3,20,-79,-86,3,22,-147,729,117
-6,68,63,0,83,144,-31,1,-33,-88,9,17,19,-42,-87,2,41,-126,386,371
-8,129,62,73,122,167,-27,0,-25,-90,23,-14,25,-93,-86,1,10,-140,668,66
-8,173,53,59,132,105,-10,6,-13,-26,25,-31,28,-133,-27,-9,10,-161,582,66
-7,185,57,54,130,123,-13,1,-12,-6,24,-37,38,-144,-22,-1,36,-164,534,292
-7,229,32,97,134,224,45,4,57,94,24,-28,23,-187,61,4,28,-215,330,171
-21,214,30,158,145,272,57,6,78,98,27,-6,54,-183,65,5,36,-231,389,292
-6,275,21,127,147,197,33,4,38,45,26,-30,23,-227,35,7,32,-254,472,217
-19,272,19,156,152,274,82,7,91,96,27,-22,31,-237,81,8,22,-268,386,117
-7,253,24,150,136,233,34,5,40,83,24,-18,33,-208,63,7,28,-246,352,171
-7,294,20,126,158,191,76,8,80,105,28,-33,16,-246,93,-1,14,-267,385,78
-7,314,16,167,112,187,79,70,83,105,16,-39,36,-276,92,-3,14,-290,133,78
-17,138,22,0,106,185,8,2,8,35,17,86,52,-114,36,8,54,-254,314,463
-9,123,106,177,89,110,40,5,40,11,11,7,46,-96,3,10,22,-155,220,117
-6,87,128,115,91,247,-23,2,-26,-61,12,3,14,-59,-60,8,60,-118,404,482
-8,55,157,0,77,135,13,2,11,-13,6,26,19,-33,-11,10,36,-115,170,292
-25,101,76,61,113,161,53,12,74,73,20,-19,26,-85,54,8,22,-126,285,117
-6,116,105,61,102,190,-25,3,-27,-34,16,-17,17,-84,-37,5,50,-124,429,446
-7,78,125,246,90,180,-16,3,-18,-49,12,15,11,-51,-51,8,50,-122,375,446
-6,114,76,72,99,245,-29,2,-31,-66,15,-17,7,-83,-63,6,57,-127,475,472
-6,113,73,127,101,237,-21,2,-23,-55,16,0,14,-81,-52,10,58,-140,475,477
-16,139,77,84,114,289,58,6,74,82,20,-10,36,-111,48,8,41,-156,277,371
-8,130,73,195,94,67,5,1,5,-13,13,6,27,-100,-23,10,20,-162,309,103
-17,89,72,0,112,235,-9,5,-4,20,20,47,23,-65,-7,7,50,-164,405,446
-6,86,114,171,95,330,-22,3,-25,-83,14,11,10,-56,-83,6,58,-123,489,477
-6,71,56,0,88,229,-16,3,-17,-60,11,84,20,-43,-59,7,51,-182,376,451
-6,143,55,177,108,231,-28,2,-30,-79,18,4,19,-108,-78,3,45,-169,558,409
-6,214,29,176,133,183,-35,2,-36,-48,24,-5,16,-171,-47,5,36,-222,618,292
-7,265,22,171,138,64,15,3,16,0,24,-16,18,-220,-1,10,20,-258,514,103
-6,214,20,0,126,115,25,5,28,4,22,40,64,-172,-1,8,36,-266,472,292
-8,59,127,0,79,137,-7,2,-9,-52,7,25,26,-38,-52,9,22,-120,262,117
-8,170,59,59,119,195,3,0,3,-31,21,-32,82,-134,-33,-2,20,-159,513,103
-8,230,49,53,131,97,-22,-1,-23,-2,23,-53,53,-189,-3,-1,22,-190,498,117
-7,313,15,233,156,209,66,6,66,114,27,-14,24,-265,102,3,22,-301,350,117
-6,319,13,327,161,257,142,10,159,154,28,-5,38,-269,130,6,28,-314,294,171
-21,258,15,594,142,260,121,7,136,160,25,10,38,-226,139,10,22,-291,216,117
-6,296,15,341,149,404,148,6,160,192,26,-1,46,-248,152,5,28,-299,176,171
-20,254,20,222,154,457,108,8,130,131,28,-5,67,-219,101,8,36,-267,344,292
-7,175,28,0,113,121,49,7,48,35,19,29,71,-139,29,8,22,-224,340,117
-18,181,40,160,117,106,70,4,88,61,20,-4,35,-153,47,8,20,-204,308,103
-8,209,77,34,119,105,10,1,9,51,20,-71,58,-171,42,0,20,-156,328,103
-7,273,24,138,138,194,71,10,73,120,24,-24,37,-228,97,-1,22,-257,275,117
-7,283,17,373,139,286,166,10,184,185,24,3,87,-238,145,-6,22,-292,145,117
-17,183,17,0,156,305,81,14,109,146,31,31,52,-145,87,0,32,-241,375,217
-6,125,39,3750,97,133,24,3,22,2,14,14,43,-94,3,5,41,-172,311,371
-9,118,108,67,97,177,-20,5,-22,-62,14,-16,20,-90,-62,-2,14,-130,425,78
-9,129,72,252,94,119,-1,2,-1,-31,13,10,27,-99,-31,9,14,-165,342,78
-8,190,39,248,114,71,12,-1,12,1,19,6,50,-154,1,8,14,-213,404,78
-7,298,31,56,154,217,89,2,95,106,27,-76,54,-251,95,7,36,-229,373,292
-7,315,9,0,161,198,128,1,130,130,28,32,155,-266,130,10,14,-348,335,78
-7,260,28,105,145,84,11,-1,12,44,26,-30,60,-213,42,3,22,-238,469,117
-15,342,6,873,176,236,116,26,120,149,30,2,44,-297,140,3,14,-359,339,78
-9,304,10,1134,155,242,154,17,168,149,27,15,55,-258,129,-9,22,-326,280,117
-19,203,15,0,168,195,106,19,138,121,33,45,70,-166,86,3,22,-269,462,117
-18,208,21,183,200,233,78,20,106,120,40,3,35,-164,90,4,22,-228,611,117
-7,264,19,175,130,272,106,18,126,150,22,-20,41,-221,109,-9,14,-258,169,78
-14,235,18,581,159,270,97,11,123,118,30,18,59,-195,93,-9,41,-267,415,371
-18,238,17,434,217,331,93,15,124,99,42,24,84,-191,69,3,41,-268,705,371
-19,243,22,114,152,308,98,8,120,119,28,-29,53,-207,88,3,36,-238,368,292
-18,285,14,268,230,370,129,16,161,155,42,6,50,-236,119,1,41,-293,593,371
-15,261,10,786,234,350,104,17,133,142,44,20,85,-207,104,5,30,-292,655,193
-13,282,9,199,180,227,97,16,107,141,33,-32,63,-236,115,-5,20,-279,421,103
-15,195,22,406,143,197,52,11,62,27,27,11,59,-159,25,7,22,-231,524,117
-8,108,89,210,91,137,-14,2,-15,-49,12,9,14,-82,-48,8,20,-146,360,103
-8,154,40,487,121,41,33,15,34,2,22,18,56,-117,-2,-7,14,-192,465,78
-9,120,106,51,92,42,-13,5,-14,-10,12,-29,53,-94,-24,-4,10,-123,277,66
-13,139,37,0,147,272,1,10,5,23,30,71,39,-101,2,5,61,-221,614,484
-7,154,57,122,106,170,-30,2,-31,-70,17,-6,12,-120,-69,6,32,-170,513,217
-6,185,46,120,117,139,-28,1,-29,3,20,-10,11,-146,-7,10,45,-192,436,409
-7,164,41,304,113,34,-24,2,-25,-13,19,10,8,-128,-11,-2,30,-195,440,193
-8,164,61,91,107,58,-11,6,-12,29,17,-16,20,-131,20,-6,14,-170,306,78
-29,185,67,42,122,113,52,19,56,67,21,-58,30,-167,58,2,10,-165,312,66
-26,214,40,70,154,139,74,24,85,92,29,-36,37,-187,67,10,14,-204,432,78
-13,236,15,185,285,179,54,77,58,66,54,7,27,-174,51,-1,14,-245,1009,78
-6,200,23,169,115,72,27,9,27,4,19,-18,40,-162,2,10,14,-212,398,78
-6,193,49,77,117,213,17,1,24,50,20,-28,17,-154,43,10,45,-183,342,409
-17,191,45,89,135,201,73,11,91,64,25,-19,28,-158,47,9,28,-194,411,171
-7,127,74,139,94,177,-5,1,-6,-58,13,-1,28,-98,-56,8,32,-153,405,217
-9,133,132,45,92,65,-9,43,-9,-22,12,-35,38,-105,-29,-1,10,-126,301,66
-9,142,86,73,106,58,-23,29,-24,-10,17,-16,25,-111,-15,10,10,-150,382,66
-19,151,72,63,110,125,24,4,28,40,18,-27,34,-128,32,9,22,-157,309,117
-17,169,51,113,117,268,82,4,104,121,20,-10,11,-142,75,10,30,-186,193,193
-8,148,78,77,100,163,-3,2,-1,-17,15,-18,18,-116,-23,9,28,-154,363,171
-8,135,142,48,105,117,-36,0,-37,-48,17,-26,62,-102,-58,-8,36,-129,471,292
-8,247,39,60,125,184,54,6,61,61,21,-57,21,-207,46,1,20,-205,329,103
-7,227,35,114,123,222,35,5,44,49,21,-21,22,-187,32,4,22,-220,354,117
-25,213,36,105,142,221,89,9,105,83,26,-20,17,-186,54,0,22,-219,391,117
-23,211,42,66,161,254,96,16,135,143,31,-35,50,-179,93,-3,14,-198,372,78
-18,179,42,73,156,163,41,12,70,78,31,-22,15,-142,38,8,14,-179,502,78
-27,105,87,63,102,73,1,36,20,16,16,-20,14,-93,-15,8,10,-131,309,66
-7,120,78,86,102,176,36,2,43,54,16,-10,34,-88,54,10,28,-137,242,171
-8,175,65,48,116,122,-19,4,-21,-7,20,-43,54,-139,-27,4,22,-154,445,117
-6,64,78,0,83,191,0,8,-1,-11,9,49,58,-38,-10,8,50,-145,236,446
-24,149,75,36,122,58,18,23,29,15,22,-52,17,-128,-14,10,14,-135,439,78
-19,130,39,61,123,119,33,69,39,51,23,-35,20,-104,10,-9,22,-142,392,117
-24,130,92,74,98,108,34,3,42,44,14,-18,37,-115,11,0,20,-151,216,103
-6,127,102,112,102,188,-27,1,-31,-27,16,1,24,-94,-39,10,58,-148,419,477
-7,118,107,74,99,245,-32,1,-35,-92,15,-11,15,-88,-90,8,41,-132,520,371
-7,62,142,3069,79,185,-15,1,-18,-66,7,21,29,-39,-66,9,41,-116,300,371
-20,173,58,114,120,161,89,3,121,79,21,-7,68,-147,69,10,14,-192,290,78
-7,163,59,87,115,52,-33,-1,-35,11,20,-15,25,-126,2,-10,32,-168,414,217
-7,163,47,158,115,158,-36,0,-38,-38,20,0,21,-126,-36,9,32,-183,512,217
-7,123,56,0,102,130,-30,2,-31,-24,16,35,15,-91,-29,10,32,-180,400,217
-18,86,100,151,93,131,18,3,23,10,13,6,20,-68,-13,9,32,-131,269,217
