T2m,T850,T700,T500,T300,TD2m,Td_850,dTd_850,Td_700,dTd_700,Td_500,dTd_500,Td_300,dTd_300,Td2m,Wpow_10m,WpoW_850,WpoW_700,Wpow_500,Wpow_300,Tsm8,Vaiting,Tps8,Tps5,Tps850-Tps500,Tps0-Tps850,Total,sweat,Td0,Tsm7,Tsm0,dTd8,dTd0,dTd5,dTd7,TPS8-TPS7,TPS7-TPS5,Jefferson,TSM7+TSM5,Tps7,Tps0,dTd3,dTd300+dTd500,Tps850-TPS300,Tps700-TPS300,GUST,LF,CAPE0,CAPE250,CAPE90,VVEL925,VVEL850,VVEL700,VVEL500,VVEL300,dV3-5,dV5-8,dDIR3-5,dDIR5-8,U300,V300,U850,V850,U700,V700,U500,V500,U10,V10,maxVevel,minVevel,Si,HPBL,CEILING,AbsHumid,CLCT,CLCL,PMSL,Hbottom-low,Hbase-top,gradT0,gradT0*2,gradTd0*2,gradTd0,Lapl_PRMSL125,Lapl_PRMSL1.0,ClH200,ClH100,TotPrec,Nighttime,TunderYN,Longitude,Latitude,Eventtime,Station
21.05,10.55,0.25,-16.55,-45.45,15.25,16.44,4.61,8.13,2.42,-1.66,1.91,-21.74,5.19,15.25,4.12,16.0,23.09,26.02,29.02,8.25,186.85,41.58,45.13,-3.56,-235.82,118.65,2333.17,15.25,-0.96,18.15,4.61,5.8,1.91,2.42,-0.75,-2.81,50.11,-18.46,42.33,-194.24,5.19,7.1,-6.88,-6.13,9.0,-1.7,0.0,22.6,16.3,-0.17,0.51,-0.26,-0.95,-0.13,3.61,10.05,-0.86,-0.81,1.0,-1.0,16.0,0.0,23.0,2.0,26.0,-1.0,4.0,1.0,0.51,-0.95,16.0,1412.0,3060.0,0.01,100.0,58.0,1004.0,1130.0,9090.0,0.8,1.24,0.2,0.43,23.0,26.0,794.0,768.0,0.39999999999999997,1,64,64.17,61.13,2021-05-30 07:35:00,0
14.35,8.35,-0.65,-15.95,-45.75,13.35,14.04,0.31,7.75,0.6,-2.54,1.89,-24.41,8.46,13.35,4.47,14.0,22.2,26.31,31.26,8.19,218.95,42.03,46.15,-4.12,-238.12,138.25,3016.15,13.35,-0.95,13.85,0.31,1.0,1.89,0.6,-0.2,-3.92,50.33,-17.85,42.23,-196.09,8.46,10.35,-5.85,-5.65,9.0,4.7,6.1,17.0,14.4,-0.48,0.04,0.52,-0.8,0.1,5.0,12.65,0.98,-0.63,4.0,4.0,14.0,0.0,22.0,3.0,26.0,4.0,-2.0,-4.0,0.52,-0.8,2.0,615.0,330.0,0.01,100.0,100.0,1006.0,280.0,1740.0,0.78,0.94,0.27,0.38,30.0,27.0,973.0,944.0,0.5999999999999996,1,64,69.27,61.37,2021-05-30 12:04:00,0
24.55,14.05,1.05,-15.65,-45.55,11.95,12.8,11.75,7.79,6.26,-0.87,1.92,-20.71,5.06,11.95,4.0,11.66,17.72,19.03,25.32,8.18,142.65,41.23,46.65,-5.42,-234.55,93.35,1612.42,11.95,-2.08,18.25,11.75,12.6,1.92,6.26,0.63,-6.05,47.18,-18.69,40.61,-193.32,5.06,6.97,-7.08,-7.71,8.0,0.1,0.0,44.6,0.0,-0.08,-0.44,-0.12,-0.21,-0.01,6.71,10.3,0.2,0.32,1.0,4.0,10.0,6.0,17.0,5.0,19.0,4.0,0.0,-4.0,-0.01,-0.44,2.0,967.0,5320.0,0.01,100.0,0.0,1004.0,0.0,0.0,0.91,1.33,1.08,1.23,25.0,27.0,1035.0,765.0,0.0,1,64,68.42,60.5,2021-05-30 12:21:00,0
6.15,0.85,-5.45,-22.75,-47.75,4.25,5.1,1.05,-8.13,8.98,-13.97,8.52,-36.18,13.43,4.25,1.41,7.07,7.07,9.06,13.0,0.33,173.05,25.34,33.82,-8.47,-223.87,139.35,3010.78,4.25,-9.94,5.2,1.05,1.9,8.52,8.98,-2.85,-5.62,39.75,-36.95,28.19,-198.53,13.43,21.96,-19.55,-16.7,5.0,9.7,0.0,0.0,2.1,0.25,-0.11,0.01,0.21,0.12,4.12,10.0,0.06,0.13,-1.0,0.0,-1.0,-7.0,-7.0,1.0,-9.0,0.0,1.0,1.0,0.25,-0.11,0.0,250.0,1520.0,0.01,100.0,100.0,1016.0,1410.0,2000.0,0.32,0.93,0.29,1.11,20.0,28.0,1000.0,908.0,0.0,1,64,67.28,62.19,2021-05-30 12:46:00,0
6.85,-3.65,-7.65,-22.75,-47.75,-0.45,5.95,0.9,-12.3,8.65,-16.25,8.6,-28.17,5.42,-0.45,1.0,2.24,10.05,16.28,21.1,-4.1,171.75,17.51,33.8,-16.3,-215.88,135.85,2981.88,-0.45,-11.98,3.2,0.9,7.3,8.6,8.65,-7.55,-8.74,32.5,-39.03,25.06,-198.37,5.42,14.03,-27.59,-20.04,4.0,12.0,0.0,72.6,13.2,-0.07,0.11,0.39,0.29,0.02,5.1,18.11,-0.89,0.4,-3.0,-2.0,2.0,-1.0,-10.0,1.0,-16.0,-2.0,1.0,0.0,0.39,-0.07,2.0,347.0,1480.0,0.0,100.0,100.0,1017.0,1380.0,2250.0,0.59,1.52,0.32,0.51,14.0,28.0,1000.0,974.0,0.0,1,64,65.4,60.07,2021-05-30 13:57:00,0
15.15,11.25,0.45,-15.05,-45.65,12.65,10.55,4.6,6.18,5.07,-4.0,4.45,-20.13,5.08,12.65,7.21,3.16,20.12,20.02,24.0,8.95,170.85,43.17,46.48,-3.31,-239.04,115.35,2309.57,12.65,-2.08,13.9,4.6,2.5,4.45,5.07,2.76,-6.07,48.47,-19.36,40.41,-195.88,5.08,9.54,-5.0,-7.76,12.0,5.4,0.0,0.0,0.0,0.14,-0.08,-0.15,-0.07,-0.15,4.12,17.0,0.28,0.14,1.0,0.0,3.0,1.0,18.0,9.0,20.0,0.0,-4.0,-6.0,0.14,-0.15,18.0,356.0,3450.0,0.01,100.0,2.0,1006.0,4100.0,5330.0,0.65,0.97,0.42,0.9,13.0,27.0,769.0,139.0,0.2,0,64,67.12,60.0,2021-05-30 17:30:00,0
1.55,-2.75,-6.15,-23.25,-48.55,-0.05,-1.87,3.42,-6.56,3.81,-15.61,9.46,-31.84,8.59,-0.05,1.41,1.41,14.0,11.66,15.62,-4.46,179.65,17.48,32.98,-15.51,-217.3,121.75,2569.34,-0.05,-8.05,0.75,3.42,1.6,9.46,3.81,-12.09,-3.42,34.82,-36.03,29.57,-199.82,8.59,18.05,-26.37,-14.28,2.0,15.3,0.0,0.0,0.0,0.06,0.02,0.33,0.13,-0.05,4.47,10.3,-0.55,0.99,-6.0,-10.0,-1.0,-1.0,-14.0,0.0,-10.0,-10.0,1.0,1.0,0.33,-0.05,20.0,33.0,22700.0,0.0,6.0,0.0,1019.0,0.0,0.0,0.35,0.68,0.34,0.54,9.0,25.0,934.0,380.0,0.0,0,64,64.49,60.07,2021-05-30 19:44:00,0
0.35,0.35,-2.85,-17.95,-46.85,-1.65,-9.64,9.99,-21.83,22.18,-16.86,14.01,-22.9,4.95,-1.65,1.41,3.61,11.0,19.1,33.02,-4.64,85.15,18.96,39.55,-20.58,-219.17,83.25,1285.42,-1.65,-13.94,-0.65,9.99,2.0,14.01,22.18,-9.15,-11.43,20.02,-38.89,28.11,-200.21,4.95,18.96,-27.46,-18.31,3.0,21.2,0.0,0.0,0.0,0.14,0.09,0.06,-0.02,0.01,14.04,22.36,0.91,-0.33,-19.0,-33.0,2.0,3.0,0.0,-11.0,-2.0,-33.0,-1.0,1.0,0.14,-0.02,8.0,33.0,9890.0,0.0,63.0,0.0,1022.0,0.0,0.0,0.48,0.72,0.44,0.73,12.0,26.0,681.0,321.0,0.0,0,64,67.38,60.42,2021-05-30 22:52:00,0
2.35,5.85,-5.45,-22.15,-48.65,1.45,-0.24,2.59,2.31,3.54,-17.2,11.75,-30.82,8.67,1.45,2.24,5.66,4.12,3.61,12.08,4.56,194.45,33.73,34.16,-0.43,-233.23,133.15,2614.96,1.45,-7.22,1.9,2.59,0.9,11.75,3.54,2.83,-3.26,48.97,-35.24,30.9,-199.5,8.67,20.42,-9.97,-12.8,6.0,14.3,0.0,0.0,41.8,0.02,-0.18,0.09,-0.18,-0.07,13.15,2.24,0.0,-0.95,-3.0,-5.0,4.0,-4.0,-1.0,-4.0,2.0,-5.0,1.0,2.0,0.09,-0.18,3.0,344.0,22700.0,0.0,11.0,2.0,1014.0,0.0,0.0,0.36,0.75,0.53,0.78,21.0,28.0,868.0,232.0,0.0,0,64,69.37,60.21,2021-05-30 22:52:00,0
6.15,7.65,-0.05,-17.35,-46.25,4.55,-15.75,21.9,1.28,6.37,-7.32,7.27,-22.86,5.51,4.55,3.61,6.32,3.16,4.12,7.0,-3.3,108.05,24.84,41.87,-17.03,-223.41,61.35,517.83,4.55,-3.24,5.35,21.9,1.6,7.27,6.37,-13.66,-3.37,29.58,-24.22,38.5,-198.57,5.51,12.78,-22.44,-8.78,6.0,16.8,0.0,0.0,0.0,0.09,0.16,0.1,0.21,-0.01,3.16,10.05,-0.99,-0.13,-4.0,-7.0,-2.0,6.0,-3.0,-1.0,-1.0,-7.0,-2.0,3.0,0.21,-0.01,14.0,255.0,7740.0,0.01,79.0,0.0,1018.0,0.0,0.0,0.44,0.74,0.34,0.55,21.0,30.0,1009.0,693.0,0.0,0,64,75.16,58.53,2021-05-31 21:05:00,0
22.75,12.95,0.15,-15.25,-43.65,6.45,8.81,13.94,4.38,8.57,-1.75,1.9,-21.05,5.8,6.45,6.08,12.65,12.73,11.4,15.0,5.98,125.05,37.22,47.35,-10.12,-231.11,84.45,1269.84,6.45,-4.14,14.6,13.94,16.3,1.9,8.57,-0.17,-9.95,41.93,-20.34,37.39,-193.88,5.8,7.71,-13.84,-13.67,12.0,5.8,0.0,34.1,8.9,-0.11,-0.06,-0.11,-0.12,0.1,5.0,11.4,0.44,-0.24,3.0,0.0,4.0,12.0,9.0,9.0,11.0,0.0,-1.0,6.0,0.1,-0.12,15.0,775.0,5360.0,0.01,100.0,0.0,1007.0,0.0,0.0,0.24,0.3,0.36,0.53,5.0,28.0,955.0,649.0,0.1,1,64,85.3,59.0,2021-06-01 05:57:00,0
21.55,14.45,1.15,-15.75,-44.25,8.35,4.15,17.4,0.3,14.15,-23.37,24.52,-27.37,11.62,8.35,2.24,11.4,9.22,16.76,9.43,5.75,99.05,37.34,41.31,-3.97,-231.52,77.95,1191.5,8.35,-5.92,14.95,17.4,13.2,24.52,14.15,1.27,-5.23,39.26,-33.93,36.08,-194.18,11.62,36.14,-12.6,-13.87,8.0,1.9,0.0,109.1,16.6,0.01,-0.22,-0.04,0.01,-0.05,8.0,7.28,-0.87,0.99,5.0,5.0,9.0,7.0,6.0,7.0,16.0,5.0,1.0,2.0,0.01,-0.22,9.0,598.0,11450.0,0.01,54.0,0.0,1006.0,0.0,0.0,0.02,0.09,0.06,0.24,15.0,12.0,1008.0,223.0,0.0,1,64,71.57,65.33,2021-06-02 13:15:00,0
11.05,8.65,-2.25,-19.15,-48.25,9.45,6.79,4.26,3.69,4.96,-6.97,4.72,-27.15,8.0,9.45,2.24,13.42,13.42,13.04,16.16,6.52,176.05,37.82,39.9,-2.08,-234.83,121.95,2417.72,9.45,-4.73,10.25,4.26,1.6,4.72,4.96,2.28,-4.36,48.55,-26.24,35.54,-197.01,8.0,12.72,-6.47,-8.75,8.0,0.9,0.0,56.6,29.3,0.1,0.14,0.32,0.1,0.02,4.12,1.41,0.95,-0.37,-11.0,-15.0,-6.0,-12.0,-6.0,-12.0,-7.0,-15.0,1.0,-2.0,0.32,0.02,2.0,576.0,6230.0,0.01,52.0,0.0,1007.0,0.0,0.0,0.3,0.48,0.19,0.52,22.0,29.0,922.0,99.0,0.0,1,64,88.42,53.18,2021-06-03 11:59:00,0
17.05,13.25,2.55,-13.25,-42.65,13.15,14.87,2.18,9.5,3.75,0.92,1.63,-18.78,5.53,13.15,4.12,1.41,10.3,14.32,23.26,12.16,188.95,51.62,51.05,0.57,-246.94,126.75,2581.64,13.15,0.67,15.1,2.18,3.9,1.63,3.75,5.85,-5.27,52.7,-13.39,45.77,-195.32,5.53,7.16,-0.93,-6.78,10.0,2.3,0.0,338.6,0.0,0.0,0.12,0.35,-0.03,0.21,8.94,13.89,-0.64,-0.61,6.0,10.0,1.0,-1.0,5.0,9.0,13.0,10.0,-1.0,-4.0,0.35,-0.03,6.0,459.0,4560.0,0.01,100.0,26.0,1004.0,0.0,0.0,0.17,0.26,0.3,0.56,26.0,31.0,772.0,210.0,13.0,0,64,92.48,55.37,2021-06-03 18:30:00,0
13.45,4.75,-2.45,-18.15,-42.45,8.75,7.88,5.57,3.72,1.03,-6.8,4.35,-25.36,7.21,8.75,3.61,7.28,18.36,32.28,47.54,1.96,187.35,28.87,41.56,-12.7,-225.32,110.05,2046.69,8.75,-2.97,11.1,5.57,4.7,4.35,1.03,-9.31,-3.38,41.87,-23.29,38.18,-196.45,7.21,11.56,-23.87,-14.56,6.0,7.7,0.0,0.0,0.0,-0.06,0.06,0.01,0.17,0.11,15.3,29.07,-1.0,-0.97,-9.0,-12.0,2.0,-7.0,16.0,-9.0,31.0,-12.0,3.0,-2.0,0.17,-0.06,7.0,612.0,3090.0,0.01,100.0,0.0,1011.0,3290.0,3920.0,0.25,0.6,0.6,0.6,15.0,30.0,644.0,258.0,0.0,0,64,84.36,54.1,2021-06-03 22:32:00,0
9.45,13.35,2.35,-14.75,-44.55,7.35,2.54,6.91,6.22,7.13,-21.62,23.97,-37.77,23.02,7.35,1.41,4.12,5.1,10.77,13.04,9.89,149.75,45.06,42.65,2.41,-242.42,104.85,1967.0,7.35,-1.22,8.4,6.91,2.1,23.97,7.13,2.7,-0.29,48.72,-27.95,42.36,-197.36,23.02,46.99,-4.27,-6.97,3.0,3.5,0.0,0.0,0.0,0.07,0.05,0.06,-0.03,0.09,5.83,14.32,0.71,0.34,-10.0,-13.0,-1.0,4.0,-1.0,-5.0,-4.0,-13.0,-1.0,1.0,0.09,-0.03,0.0,61.0,22700.0,0.01,0.0,0.0,1003.0,0.0,0.0,0.27,0.27,0.25,0.26,19.0,39.0,510.0,95.0,0.0,0,64,81.2,55.06,2021-06-04 16:36:00,0
15.35,16.55,5.15,-12.85,-41.55,13.95,6.62,8.73,9.0,7.55,3.0,2.15,-17.5,4.65,13.95,1.0,3.61,7.81,12.21,12.65,12.18,141.25,50.14,51.46,-1.32,-245.76,98.25,1798.78,13.95,1.37,14.65,8.73,1.4,2.15,7.55,2.68,-4.0,50.45,-12.55,47.46,-195.62,4.65,6.8,-4.11,-6.78,2.0,1.2,0.0,0.0,0.0,-0.01,-0.3,-0.2,-0.1,-0.25,3.61,8.94,-0.75,0.62,7.0,4.0,2.0,3.0,6.0,5.0,10.0,4.0,0.0,1.0,-0.01,-0.3,5.0,33.0,5600.0,0.01,100.0,0.0,997.0,0.0,0.0,0.28,0.38,0.23,0.38,43.0,47.0,673.0,93.0,0.0,0,64,87.03,55.03,2021-06-04 19:03:00,0
7.05,8.25,0.35,-15.95,-44.05,0.85,-32.36,39.41,-10.61,18.86,-16.9,17.25,-33.69,17.74,0.85,2.0,7.81,7.62,7.07,4.24,-11.45,52.85,22.48,41.8,-19.32,-220.96,44.15,235.93,0.85,-9.08,3.95,39.41,6.2,17.25,18.86,-10.69,-8.63,8.26,-33.65,33.17,-198.48,17.74,34.98,-27.62,-16.93,4.0,19.6,0.0,0.0,0.0,0.08,-0.26,0.16,-0.17,0.07,5.66,5.39,-0.27,0.94,1.0,-3.0,-5.0,6.0,-7.0,3.0,-7.0,-3.0,-2.0,0.0,0.16,-0.26,15.0,68.0,22700.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.3,0.34,0.43,0.41,25.0,45.0,637.0,529.0,0.0,0,64,81.08,55.08,2021-06-04 20:19:00,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.35,1.35,-7.25,-22.35,-43.45,1.35,-4.61,6.96,-7.67,9.02,-13.27,6.02,-35.48,13.13,1.35,1.0,12.0,11.05,18.03,27.29,-2.13,141.95,22.06,34.85,-12.8,-221.35,106.05,1965.28,1.35,-11.76,1.85,6.96,1.0,6.02,9.02,-3.46,-9.34,35.21,-37.12,25.51,-199.3,13.13,19.15,-29.0,-25.54,3.0,12.6,0.0,0.0,0.0,-0.13,-0.09,0.26,-0.06,0.08,15.23,6.08,-0.21,-0.04,-1.0,13.0,12.0,0.0,11.0,-1.0,18.0,13.0,0.0,1.0,0.26,-0.13,9.0,33.0,22700.0,0.0,0.0,0.0,1004.0,0.0,0.0,0.06,0.15,0.21,0.23,27.0,61.0,901.0,387.0,0.3,0,64,67.54,59.55,2021-06-05 17:02:00,0
15.15,10.95,0.55,-16.25,-44.95,8.95,2.32,12.83,-13.15,24.1,-19.24,19.79,-30.11,13.86,8.95,2.24,3.16,2.83,5.83,11.7,4.54,85.65,34.48,41.08,-6.6,-230.66,85.45,1311.95,8.95,-11.5,12.05,12.83,6.2,19.79,24.1,2.33,-8.93,32.75,-37.64,32.15,-196.17,13.86,33.65,-14.4,-16.73,4.0,6.5,0.0,0.0,0.0,-0.02,0.06,-0.08,-0.11,0.0,9.22,4.0,-0.92,0.24,-5.0,-11.0,3.0,-1.0,2.0,-2.0,3.0,-11.0,2.0,1.0,0.06,-0.11,14.0,175.0,22700.0,0.01,6.0,0.0,1019.0,0.0,0.0,0.2,0.24,0.32,0.32,31.0,64.0,912.0,206.0,0.0,0,64,69.47,59.47,2021-06-05 19:19:00,0
10.15,6.45,-1.65,-16.65,-45.85,-0.55,-3.89,14.04,-14.88,21.33,-20.56,18.91,-30.11,13.46,-0.55,2.0,3.61,2.24,4.12,8.25,-0.57,81.75,26.28,40.65,-14.36,-223.9,76.75,923.32,-0.55,-12.31,4.8,14.04,10.7,18.91,21.33,-3.55,-10.81,25.98,-38.42,29.84,-197.61,13.46,32.36,-21.32,-17.77,4.0,15.5,0.0,0.0,0.0,0.0,-0.07,0.11,0.07,0.08,4.12,7.62,0.0,-0.99,-4.0,-8.0,-2.0,3.0,-2.0,1.0,1.0,-8.0,-2.0,0.0,0.11,-0.07,7.0,173.0,22700.0,0.0,0.0,0.0,1023.0,0.0,0.0,0.86,0.67,0.78,0.75,18.0,30.0,306.0,303.0,0.0,0,64,106.29,52.18,2021-06-05 22:00:00,0
11.45,5.05,-3.65,-20.55,-46.85,10.75,9.36,2.09,2.9,2.15,-6.27,2.62,-25.56,5.01,10.75,1.41,13.42,24.04,25.61,34.99,4.01,202.25,32.6,38.42,-5.83,-229.58,133.15,2813.14,10.75,-4.72,11.1,2.09,0.7,2.62,2.15,-2.41,-3.42,47.14,-26.58,35.01,-196.98,5.01,7.63,-13.83,-11.42,7.0,5.0,0.0,107.4,0.0,0.16,-0.46,-0.64,-0.66,-0.01,10.2,14.56,0.99,-0.35,-20.0,-30.0,12.0,-6.0,17.0,-17.0,16.0,-30.0,1.0,-1.0,0.16,-0.66,14.0,258.0,1710.0,0.01,100.0,59.0,1011.0,2160.0,7050.0,0.48,0.67,0.25,0.21,32.0,64.0,1031.0,467.0,3.3,0,64,70.55,61.13,2021-06-05 22:46:00,0
26.05,11.15,-1.95,-18.45,-44.75,5.15,12.13,13.92,-0.04,11.19,-20.3,18.35,-29.22,10.77,5.15,9.0,13.42,10.63,14.21,14.21,4.19,119.55,34.04,38.32,-4.28,-227.18,90.05,1451.76,5.15,-7.54,15.6,13.92,20.9,18.35,11.19,1.44,-5.72,40.82,-35.17,32.6,-193.14,10.77,29.12,-15.2,-16.65,14.0,1.6,0.0,13.7,2.0,0.03,0.21,0.08,0.08,-0.01,0.0,3.16,0.0,0.16,-9.0,-9.0,12.0,-6.0,7.0,-8.0,11.0,-9.0,9.0,0.0,0.21,-0.01,10.0,2994.0,22700.0,0.01,0.0,0.0,1013.0,0.0,0.0,0.16,0.56,0.24,0.32,38.0,47.0,883.0,328.0,0.0,1,64,78.3,58.23,2021-06-06 05:41:00,0
12.05,0.45,-7.95,-18.75,-43.85,1.25,9.25,2.8,-22.44,22.89,-37.71,29.76,-27.69,8.94,1.25,6.08,12.17,17.03,32.02,45.28,-0.95,126.15,23.25,37.24,-13.99,-219.95,120.95,2689.2,1.25,-19.39,6.65,2.8,10.8,29.76,22.89,1.6,-15.59,26.66,-53.02,21.65,-196.7,8.94,38.71,-27.36,-28.96,14.0,11.0,9.5,3.8,12.2,-0.06,-0.04,0.5,-0.03,0.8,32.02,21.47,-0.85,0.93,8.0,39.0,12.0,-2.0,17.0,-1.0,31.0,39.0,6.0,-1.0,0.8,-0.06,4.0,2225.0,1700.0,0.0,100.0,100.0,1004.0,0.0,0.0,0.16,0.52,0.2,0.29,15.0,53.0,883.0,317.0,0.0,1,64,80.35,58.41,2021-06-06 06:49:00,0
12.05,0.45,-7.95,-18.75,-43.85,1.25,9.25,2.8,-22.44,22.89,-37.71,29.76,-27.69,8.94,1.25,6.08,12.17,17.03,32.02,45.28,-0.95,126.15,23.25,37.24,-13.99,-219.95,120.95,2689.2,1.25,-19.39,6.65,2.8,10.8,29.76,22.89,1.6,-15.59,26.66,-53.02,21.65,-196.7,8.94,38.71,-27.36,-28.96,14.0,11.0,9.5,3.8,12.2,-0.06,-0.04,0.5,-0.03,0.8,32.02,21.47,-0.85,0.93,8.0,39.0,12.0,-2.0,17.0,-1.0,31.0,39.0,6.0,-1.0,0.8,-0.06,4.0,2225.0,1700.0,0.0,100.0,100.0,1004.0,0.0,0.0,0.16,0.52,0.2,0.29,15.0,53.0,883.0,317.0,0.0,1,64,80.35,58.41,2021-06-06 06:57:00,0
22.95,9.75,-1.45,-17.05,-45.25,5.45,7.86,15.09,-8.35,18.1,-22.06,20.61,-28.84,11.79,5.45,3.61,7.81,5.66,6.4,4.12,2.21,93.25,30.95,39.94,-9.0,-224.98,81.85,1295.93,5.45,-10.5,14.2,15.09,17.5,20.61,18.1,0.06,-9.06,32.65,-37.86,30.89,-194.03,11.79,32.4,-17.56,-17.62,8.0,3.8,0.0,5.7,8.6,0.15,0.14,0.07,0.06,0.04,3.16,1.41,-0.49,0.91,-5.0,-4.0,5.0,-6.0,4.0,-4.0,4.0,-4.0,2.0,-3.0,0.15,0.04,9.0,1930.0,22700.0,0.01,20.0,0.0,1016.0,0.0,0.0,0.29,0.23,0.24,0.51,49.0,46.0,883.0,735.0,0.0,1,64,79.38,57.59,2021-06-06 07:21:00,0
23.85,11.05,-1.15,-18.05,-45.35,7.05,9.79,14.06,-5.86,16.91,-19.12,17.97,-26.81,8.76,7.05,4.12,7.07,7.21,11.31,10.63,4.02,101.25,33.78,38.89,-5.12,-227.52,88.15,1350.91,7.05,-9.61,15.45,14.06,16.8,17.97,16.91,2.13,-7.24,37.28,-36.64,31.65,-193.74,8.76,26.74,-14.67,-16.8,8.0,2.3,0.0,304.1,1.6,0.05,0.23,0.11,-0.1,0.08,1.0,4.24,-0.62,0.0,-8.0,-8.0,5.0,-5.0,4.0,-6.0,8.0,-8.0,4.0,-1.0,0.23,-0.1,11.0,1174.0,22700.0,0.01,0.0,0.0,1014.0,0.0,0.0,0.45,0.48,0.14,0.19,12.0,52.0,910.0,851.0,0.0,1,64,76.3,58.35,2021-06-06 07:23:00,0
23.75,12.15,-1.85,-19.15,-45.35,10.55,11.43,12.32,9.17,2.98,-13.34,11.49,-26.5,7.35,10.55,6.08,22.47,21.02,21.47,26.25,5.99,161.15,37.06,38.31,-1.25,-230.64,96.45,1731.55,10.55,-3.34,17.15,12.32,13.2,11.49,2.98,-0.66,-0.59,48.65,-28.24,37.72,-193.58,7.35,18.85,-11.44,-10.78,12.0,-2.7,8.4,3.4,5.6,-0.04,-0.61,-0.16,0.36,-0.04,7.07,2.83,0.04,0.58,-10.0,-17.0,21.0,-8.0,19.0,-9.0,19.0,-17.0,6.0,1.0,0.36,-0.61,10.0,2269.0,3480.0,0.01,100.0,0.0,1006.0,3690.0,4840.0,0.22,0.3,0.44,0.59,43.0,50.0,1036.0,823.0,0.5,1,64,77.42,58.38,2021-06-06 08:16:00,0
11.85,5.15,-2.95,-20.05,-47.05,10.25,10.59,1.26,5.15,0.0,-5.11,2.16,-25.25,5.2,10.25,3.61,19.65,32.02,29.53,35.0,4.52,220.15,33.67,39.35,-5.68,-230.44,137.25,3136.21,10.25,-2.95,11.05,1.26,1.6,2.16,0.0,-4.43,-1.25,48.58,-24.08,38.1,-196.77,5.2,7.37,-12.45,-8.02,7.0,5.3,15.8,5.9,4.4,0.51,0.08,-1.0,-0.54,0.01,7.28,11.4,0.75,0.84,-14.0,-21.0,19.0,-5.0,31.0,-8.0,26.0,-21.0,2.0,3.0,0.51,-1.0,9.0,474.0,550.0,0.01,100.0,100.0,1006.0,380.0,850.0,0.38,0.65,0.47,0.54,17.0,41.0,992.0,319.0,2.8,1,64,66.25,60.03,2021-06-06 08:39:00,0
22.55,8.85,-2.35,-19.45,-45.25,10.55,17.89,4.66,3.88,4.97,-7.44,5.09,-24.17,4.72,10.55,5.0,14.21,26.4,24.19,31.06,6.52,176.65,37.81,39.34,-1.53,-231.69,122.75,2520.16,10.55,-4.83,16.55,4.66,12.0,5.09,4.97,2.45,-3.98,48.84,-26.83,35.36,-193.88,4.72,9.81,-10.97,-13.42,11.0,-1.4,0.0,77.1,0.1,0.0,-0.02,-0.04,0.03,-0.05,7.07,10.44,-0.29,0.12,-12.0,-17.0,11.0,-9.0,24.0,-11.0,21.0,-17.0,4.0,-3.0,0.03,-0.05,11.0,1959.0,3460.0,0.01,95.0,0.0,1005.0,3670.0,4340.0,0.41,0.41,0.63,0.62,27.0,36.0,947.0,582.0,1.2,1,64,64.12,60.02,2021-06-06 08:53:00,0
15.65,6.35,-7.75,-15.85,-41.75,-0.55,4.67,10.98,2.98,3.37,-23.06,15.31,-20.38,4.53,-0.55,3.16,7.62,9.85,22.8,38.28,0.86,156.95,27.84,42.23,-14.39,-223.46,86.05,1493.93,-0.55,-9.44,7.55,10.98,16.2,15.31,3.37,0.66,-15.05,36.55,-32.94,27.18,-195.62,4.53,19.83,-26.12,-26.78,8.0,10.5,0.0,302.9,21.2,0.04,-0.14,-0.19,0.11,-0.09,18.03,16.55,0.74,0.61,18.0,36.0,7.0,3.0,9.0,4.0,14.0,36.0,3.0,1.0,0.11,-0.19,2.0,2535.0,2640.0,0.0,100.0,0.0,999.0,2800.0,3330.0,0.32,0.39,0.33,0.73,23.0,46.0,986.0,278.0,0.0,1,64,70.3,59.32,2021-06-06 09:19:00,0
8.15,-2.15,-13.45,-27.05,-40.35,-3.05,4.17,3.98,-4.33,2.18,-30.58,17.13,-52.34,25.29,-3.05,5.0,13.04,18.03,22.0,38.9,-4.14,199.35,18.12,27.3,-9.18,-215.89,127.95,2731.05,-3.05,-14.54,2.55,3.98,11.2,17.13,2.18,-0.79,-8.39,39.97,-50.15,18.91,-197.77,25.29,42.42,-37.15,-36.36,15.0,7.7,12.7,143.4,26.8,0.26,0.45,0.32,0.11,0.23,28.44,9.06,-0.88,0.95,0.0,28.0,13.0,-1.0,18.0,1.0,22.0,28.0,5.0,0.0,0.45,0.11,12.0,2220.0,22700.0,0.0,45.0,21.0,1005.0,0.0,0.0,0.57,1.14,0.35,1.12,23.0,41.0,992.0,548.0,0.0,1,64,67.34,60.06,2021-06-06 10:47:00,0
