20,22,23,19,8,24,27,27,37,24,24,-9,-34,46,43,21,6,469,15,16,17,28,-6,17,-3,20,55,83,40,52,2575,14,289,564
13,15,15,12,7,13,16,24,35,29,32,-33,-76,32,25,19,2,481,14,15,21,33,1,8,-5,0,32,116,30,182,208,19,51,232
16,22,22,17,8,16,22,16,22,26,23,-30,-82,13,52,15,7,480,12,14,17,21,4,12,-5,18,57,167,47,21,1217,9,413,677
21,21,21,16,10,23,25,30,33,26,28,57,-2,110,159,19,5,491,16,18,21,27,2,17,1,15,54,339,49,13,1613,6,327,774
17,21,21,16,9,15,16,19,32,27,26,-30,-70,86,124,15,6,495,11,12,16,26,1,13,13,8,43,130,44,74,0,16,289,166
12,15,15,9,5,13,18,22,31,26,27,-1,-41,88,133,14,6,500,11,15,19,23,4,-9,21,15,52,231,47,3,0,3,0,675
18,23,24,17,9,17,24,25,27,24,25,-28,-36,78,148,17,4,505,13,15,22,26,0,-8,-12,28,50,188,47,16,440,4,413,789
22,23,23,21,12,20,25,33,37,26,27,-31,-98,24,71,23,5,491,19,21,25,31,5,9,15,12,48,178,43,82,47,12,289,404
15,16,17,14,8,13,18,19,46,31,31,-55,-143,44,37,15,3,484,13,15,19,33,4,18,27,-7,34,24,31,135,316,18,253,209
17,19,20,15,7,15,15,17,19,23,23,-20,-20,45,108,13,4,505,11,12,13,14,-2,34,6,22,52,252,52,3,6265,2,327,995
17,23,23,16,7,15,17,12,16,35,29,-48,-61,94,72,21,4,476,15,13,13,20,22,32,14,5,47,-110,39,68,146,13,368,538
21,21,23,17,9,21,23,27,24,27,27,-32,-105,70,83,11,6,492,10,13,15,18,18,17,36,16,55,275,50,-3,3030,6,368,653
17,18,18,16,9,17,21,22,31,24,24,4,-73,97,88,20,6,517,16,17,19,24,-2,-22,3,6,38,157,39,59,0,9,0,123
18,19,19,17,9,16,23,25,30,26,25,-43,-91,34,93,19,3,507,16,19,23,28,1,4,3,6,46,126,46,51,0,7,0,729
15,17,17,15,8,19,27,30,39,24,25,0,-48,54,138,16,8,490,13,16,23,34,-2,47,6,24,52,235,47,21,0,7,253,566
15,16,17,14,8,21,23,28,24,25,25,11,-33,98,140,24,3,490,19,20,20,22,-10,45,55,6,54,270,49,29,0,5,253,399
