8,11,12,9,6,9,11,11,24,26,26,-44,-106,11,38,12,1,454,9,10,13,24,14,7,21,-4,48,-131,33,79,1118,10,65,386
8,13,14,10,6,13,13,12,19,25,28,4,-62,48,53,18,4,467,13,14,14,16,19,19,17,-14,32,-63,14,165,0,17,0,191
14,15,18,12,11,16,19,21,24,26,28,-40,-80,28,30,24,4,466,18,19,20,23,4,-12,17,-7,43,-55,28,124,340,18,80,205
12,15,15,12,9,13,16,23,33,29,32,-30,-70,37,26,18,2,482,13,14,20,33,-7,-13,5,1,33,120,31,181,137,21,52,170
10,11,12,10,7,13,13,19,26,29,30,-31,-48,8,13,15,2,485,12,12,15,21,1,0,13,-1,39,87,30,150,348,18,52,127
9,12,12,10,7,15,16,16,20,28,30,35,36,31,27,15,1,486,12,14,15,19,-21,-18,-2,4,51,172,42,156,20,10,20,229
4,6,8,3,3,5,10,14,17,33,33,-5,-4,18,23,5,2,485,4,7,14,20,9,14,16,6,52,93,44,145,0,6,0,313
5,7,8,5,4,6,6,7,10,30,32,51,30,35,91,9,3,489,8,7,7,10,6,17,22,-8,48,87,44,150,0,10,0,235
6,11,11,8,5,12,11,13,19,26,24,60,32,40,122,10,5,490,8,10,11,14,-1,4,12,0,42,-32,34,125,0,10,0,35
2,5,6,2,2,2,5,7,11,28,28,25,-4,29,129,5,2,491,4,7,9,12,16,25,20,-1,48,-9,43,98,0,8,0,158
4,9,10,7,3,8,9,10,8,28,29,11,-24,51,112,6,2,491,6,8,9,9,8,19,6,1,44,14,35,89,0,11,0,671
9,17,18,13,6,14,16,18,24,28,27,42,-37,39,72,13,3,487,10,11,13,17,-3,-18,-9,8,54,174,44,39,550,7,97,790
6,12,14,10,4,11,14,19,30,32,32,-24,-91,42,63,12,0,486,10,13,18,28,8,18,41,-4,40,90,32,125,0,14,0,162
11,17,17,13,8,15,17,23,34,31,31,-33,-95,11,52,15,6,480,13,17,21,29,15,34,43,10,48,91,39,77,443,13,97,295
13,21,21,16,8,20,26,26,28,26,28,60,-5,65,111,18,4,491,15,17,20,25,-7,-12,-28,11,54,301,50,41,58,6,328,774
6,11,12,8,4,7,11,23,36,30,31,-36,-63,13,94,8,1,486,7,11,19,30,11,20,16,-3,31,90,23,151,340,19,65,218
3,7,8,5,2,4,11,23,26,33,31,-26,-22,41,76,11,3,491,5,6,14,25,24,34,51,-9,35,-159,34,180,0,20,0,146
7,13,14,11,5,14,12,9,10,17,22,54,65,94,75,18,7,497,12,7,9,10,8,12,11,16,46,76,39,105,0,9,0,278
8,13,13,10,6,11,7,5,15,32,35,-26,-36,6,61,13,5,494,9,6,7,9,9,10,20,17,46,191,44,129,30,14,52,380
11,18,18,15,6,11,15,19,27,23,20,8,-2,55,79,9,3,491,8,10,14,22,-7,-7,14,9,58,168,48,36,0,10,290,638
3,8,8,5,2,6,7,5,19,24,36,2,-36,45,64,9,1,500,7,6,7,17,40,45,45,-7,30,31,34,149,0,16,0,177
